客户简称,消耗排名,清洗后商品名,消耗(万元),下单单价(元),合并原始条数,合并的原始DPA名称
阿芙精油,1,极光玫瑰双萃丸30粒 玫瑰精华油次抛精华液美白淡斑淡纹,14.4,179.84,1,【阿芙AFU】极光玫瑰双萃丸30粒 玫瑰精华油次抛精华液美白淡斑淡纹YM
阿芙精油,2,阿芙木乃伊VA双萃丸30粒 抗皱紧致精油面部精华次抛,8.24,192.03,3,【买正装送超正装量】阿芙木乃伊VA双萃丸30粒 抗皱紧致精油面部精华次抛k1 || 【AFU】阿芙木乃伊VA双萃丸30粒 抗皱紧致精油面部精华次抛k1 || 【AFU】阿芙木乃伊VA双萃丸45粒 抗皱紧致精油面部精华次抛k1
瑷亦,1,IORE持妆粉底液蹭不掉不易脱妆遮瑕细腻美容修饰推荐自然,1.13,153.88,1,IORE持妆粉底液蹭不掉不易脱妆遮瑕细腻美容修饰推荐自然
安美,1,新款肉桂奶茶口红不掉色不沾杯滋润保湿防水持久素颜显白不挑肤色,11.25,40.07,3,新款肉桂奶茶口红不掉色不沾杯滋润保湿防水持久素颜显白不挑肤色 || 新款肉桂奶茶口红不易掉色不易沾杯滋润保湿素颜显白防水不挑年龄 || 新款肉桂奶茶口红不掉色不沾杯滋润保湿素颜显白防水不挑年龄
安美,2,新款口红不掉色不沾杯复古姨妈色素颜显白大气温柔雾面孕妇可用,4.0,40.09,1,新款口红不掉色不沾杯复古姨妈色素颜显白大气温柔雾面孕妇可用
安美,3,新款口红防水不沾杯不掉色复古姨妈大气不挑肤色素颜显白保湿滋润,3.13,40.08,1,新款口红防水不沾杯不掉色复古姨妈大气不挑肤色素颜显白保湿滋润
安美,4,2026新款肉桂奶茶口红不沾杯不掉色保湿滋润素颜显白适合不化妆的你,2.74,30.05,1,2026新款肉桂奶茶口红不沾杯不掉色保湿滋润素颜显白适合不化妆的你
安美,5,不沾杯不掉色口红雾面显白复古姨妈色大气温柔防水持久黄黑皮素颜孕妇可用,2.21,40.11,1,不沾杯不掉色口红雾面显白复古姨妈色大气温柔防水持久黄黑皮素颜孕妇可用
安美,6,爆款口红不掉色不沾杯肉桂奶茶色定制口红不沾杯持久防水不脱色,1.48,30.12,1,爆款口红不掉色不沾杯肉桂奶茶色定制口红不沾杯持久防水不脱色
百雀羚,1,百雀羚帧颜绿宝石淡纹霜精华水乳套装抗皱紧致保湿霜,44.4,368.38,3,[95周年·总裁特批]百雀羚帧颜绿宝石淡纹霜精华水乳套装抗皱紧致保湿霜 || [95周年]百雀羚帧颜绿宝石淡纹霜精华水乳套装抗皱紧致保湿霜 || [七夕限定]百雀羚帧颜绿宝石淡纹霜精华水乳套装抗皱紧致保湿霜
百雀羚,2,百雀羚超A瓶套装抗皱紧致淡纹面霜水乳套装超A环肽自播活动链接,28.95,359.13,1,[七夕限定礼盒]百雀羚超A瓶套装抗皱紧致淡纹面霜水乳套装超A环肽自播活动链接
百雀羚,3,百雀羚御光美白防晒气垫 粉霜粉底液遮瑕持久持妆控油不脱妆夏季,20.58,157.97,3,【火热金秋】百雀羚御光美白防晒气垫 粉霜粉底液遮瑕持久持妆控油不脱妆夏季 || 【七夕礼遇季】百雀羚御光美白防晒气垫 粉霜粉底液遮瑕持久持妆控油不脱妆夏季 || 百雀羚御光美白防晒气垫 粉霜粉底液遮瑕持久持妆控油不脱妆夏季
百雀羚,4,百雀羚胶原水光超导乳喷雾·抗皱紧致淡纹·补水嫩肤·透皮吸收 水光发光肌 七夕抢先购 到手两瓶,16.55,101.61,4,【买一送一国货之光】百雀羚胶原水光超导乳喷雾·抗皱紧致淡纹·补水嫩肤·透皮吸收 水光发光肌 七夕抢先购 到手两瓶 || 【买一送一】百雀羚胶原水光超导乳喷雾·抗皱紧致淡纹·补水嫩肤·透皮吸收 水光发光肌  到手两瓶 || 【买一送一国货之光】百雀羚胶原水光超导乳喷雾·抗皱紧致淡纹·补水嫩肤·透皮吸收 水光发光肌  到手两瓶 || 【买一送一国货之光】百雀羚胶原水光超导乳喷雾·抗皱紧致淡纹·补水嫩肤·透皮吸收 水光发光肌 七夕限定 到手两瓶
